Altium Designer Pick and Place Locations
C:\Users\Aaron\Documents\mini_Rambo\Mini-Rambo\board\Project Outputs for Mini-Rambo_r2.2\Einy_2.2a.csv

========================================================================================================================
File Design Information:

Date:       08/03/17
Time:       12:20
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"FID2","FIDUCIAL","TopLayer","FIDUCIAL-1X2","1.631","1.731","0","Fiducial"
"C26","100nF","TopLayer","C0402","51.998","45.161","360","CAP CER 0402 100nF 16V 10% X7R"
"C52","100nF","TopLayer","C0402","43.155","49.127","90","CAP CER 0402 100nF 16V 10% X7R"
"C60","100nF","TopLayer","C0603","73.965","8.738","180","CAP CER 0603 100nF 50V 10% X7R"
"C62","100nF","TopLayer","C0603","81.204","30.404","360","CAP CER 0603 100nF 50V 10% X7R"
"R9","1.8K","TopLayer","R0402","73.228","35.457","270","RES SMD 1.8K OHM 1% 1/16W 0402"
"R16","1.8K","TopLayer","R0402","70.434","39.343","270","RES SMD 1.8K OHM 1% 1/16W 0402"
"FID1","FIDUCIAL","TopLayer","FIDUCIAL-1X2","1.631","69.306","0","Fiducial"
"FID3","FIDUCIAL","TopLayer","FIDUCIAL-1X2","103.306","1.631","0","Fiducial"
"D6","SK310A-TP","TopLayer","SMA-SM","73.403","29.947","180","DIODE Schottky 3A SMA"
"D10","SK310A-TP","TopLayer","SMA-SM","88.570","49.483","90","DIODE Schottky 3A SMA"
"U10","ADUM7441","TopLayer","QSOP16","25.614","34.024","270","4ch iCoupler"
"R72","1M","TopLayer","R0402","12.967","46.887","270","RES 0402 1M 100mW 5%"
"C67","100nF","TopLayer","C0402","21.581","31.435","90","CAP CER 0402 100nF 16V 10% X7R"
"C68","100nF","TopLayer","C0402","29.656","31.509","90","CAP CER 0402 100nF 16V 10% X7R"
"C69","100nF","TopLayer","C0402","29.631","35.953","270","CAP CER 0402 100nF 16V 10% X7R"
"C70","100nF","TopLayer","C0402","21.556","35.803","270","CAP CER 0402 100nF 16V 10% X7R"
"R34","22r","TopLayer","R0402","37.592","50.392","270","RES 0402 22r 62.5mW 1%"
"D13","BAT54","TopLayer","SOD523_IPC","54.751","32.512","180","Diode Schottky 30V 100mA Surface Mount SOD-523"
"D11","BAT54","TopLayer","SOD523_IPC","55.042","37.973","180","Diode Schottky 30V 100mA Surface Mount SOD-523"
"R32","2k37","TopLayer","R0402","55.980","44.755","180","RES SMD 2.37K OHM 1% 1/16W 0402"
"R37","2k37","TopLayer","R0402","55.372","36.400","90","RES SMD 2.37K OHM 1% 1/16W 0402"
"D2","SMAJ30A","TopLayer","SMA-SM","72.001","3.653","180","DIODE TVS 30V SMA"
"D8","SMAJ30A","TopLayer","SMA-SM","72.024","6.697","180","DIODE TVS 30V SMA"
"C63","4.7nF","TopLayer","C0402","11.443","46.892","90","CAP CER 0402 4.7nF 25V 10% X7R"
"D3","1N4148WT","TopLayer","SOD523","9.550","54.661","90","DIODE SOD523"
"D4","1N4148WT","TopLayer","SOD523","12.831","51.006","270","DIODE SOD523"
"F1","3557-2","TopLayer","3557","86.309","10.312","270","FUSE PTH ATO"
"RN1","10K","TopLayer","CAY16","43.468","25.287","180","RES ARRAY 4 RES 10K 1206 62.5mW 5%"
"C19","1uF","TopLayer","C0402","45.532","23.593","360","CAP CER 0402 1uF 6.3V 10% X5R"
"C20","1uF","TopLayer","C0402","45.532","19.443","360","CAP CER 0402 1uF 6.3V 10% X5R"
"RN2","10K","TopLayer","CAY16","43.468","21.337","180","RES ARRAY 4 RES 10K 1206 62.5mW 5%"
"RN3","10K","TopLayer","CAY16","43.468","17.787","180","RES ARRAY 4 RES 10K 1206 62.5mW 5%"
"C21","1uF","TopLayer","C0402","43.549","23.618","180","CAP CER 0402 1uF 6.3V 10% X5R"
"C22","1uF","TopLayer","C0402","43.549","19.468","180","CAP CER 0402 1uF 6.3V 10% X5R"
"C47","1uF","TopLayer","C0402","41.649","23.618","180","CAP CER 0402 1uF 6.3V 10% X5R"
"C48","1uF","TopLayer","C0402","41.574","19.468","180","CAP CER 0402 1uF 6.3V 10% X5R"
"C4","100nF","TopLayer","C0402","52.912","40.437","360","CAP CER 0402 100nF 16V 10% X7R"
"D1","BAT54","TopLayer","SOD523_IPC","55.702","45.847","180","Diode Schottky 30V 100mA Surface Mount SOD-523"
"D5","BAT54","TopLayer","SOD523_IPC","55.702","47.015","360","Diode Schottky 30V 100mA Surface Mount SOD-523"
"R5","4.7K","TopLayer","R0402","53.924","29.895","270","RES SMD 4.7K OHM 1% 1/16W 0402"
"R6","2k37","TopLayer","R0402","54.432","44.220","270","RES SMD 2.37K OHM 1% 1/16W 0402"
"LED3","5988110107F","TopLayer","LED2012120","71.831","40.064","90","LED 0805 Red"
"R21","22R","TopLayer","R0402","73.508","50.265","270","RES SMD 22 OHM 1% 1/16W 0402"
"C3","100nF","TopLayer","C0603","91.440","2.997","360","CAP CER 0603 100nF 50V 10% X7R"
"FB2","BLM41PG600SN1L","TopLayer","L1806","86.157","21.692","180","FERRITE BEAD 1806 60ohm"
"FB1","BLM41PG600SN1L","TopLayer","L1806","92.380","6.579","270","FERRITE BEAD 1806 60ohm"
"F2","3557-2","TopLayer","3557","78.942","10.322","270","FUSE PTH ATO"
"F3","3557-2","TopLayer","3557","86.436","36.043","90","FUSE PTH ATO"
"C25","100nF","TopLayer","C0603","77.318","56.058","360","CAP CER 0603 100nF 50V 10% X7R"
"C30","4.7uF","TopLayer","C1206","82.575","57.785","180","CAP CER 1206 4.7uF 50V 10% X5R"
"C35","1uF","TopLayer","C0805","85.877","58.158","270","CAP CER 0805 1uF 50V 10% X7R"
"C40","100nF","TopLayer","C0603","76.429","60.071","90","CAP CER 0603 100nF 50V 10% X7R"
"C45","10uF","TopLayer","C0805","77.325","57.810","360","CAP CER 0805 10uF 10V 10% X5R"
"C49","4.7nF","TopLayer","C0402","83.918","63.297","180","CAP CER 0402 4.7nF 25V 10% X7R"
"D9","SK310A-TP","TopLayer","SMA-SM","72.292","65.557","360","DIODE Schottky 3A SMA"
"L1","15uH","TopLayer","XAL50xx_VLS6045","71.577","60.223","270","FIXED IND 15UH 2.5A 98 MOHM SMD"
"R3","200K","TopLayer","R0402","85.853","60.630","360","RES 0402 200K"
"R11","10K","TopLayer","R0402","85.471","62.181","90","RES SMD 10K OHM 1% 1/16W 0402"
"R23","10K","TopLayer","R0402","83.490","64.847","90","RES SMD 10K OHM 1% 1/16W 0402"
"R24","10K","TopLayer","R0402","84.506","64.845","270","RES SMD 10K OHM 1% 1/16W 0402"
"P3","5x2 IDCw","TopLayer","2X5_IDCW","63.644","64.051","270",""
"C84","NP","TopLayer","C0603","94.259","8.331","270","CAP CER 0603 100nF 50V 10% X7R"
"C85","NP","TopLayer","C0603","94.259","5.334","90","CAP CER 0603 100nF 50V 10% X7R"
"C86","NP","TopLayer","C0603","87.554","23.673","180","CAP CER 0603 100nF 50V 10% X7R"
"C87","NP","TopLayer","C0603","84.836","23.673","360","CAP CER 0603 100nF 50V 10% X7R"
"C88","NP","TopLayer","C0603","87.554","25.095","360","CAP CER 0603 100nF 50V 10% X7R"
"C89","NP","TopLayer","C0603","77.292","29.972","270","CAP CER 0603 100nF 50V 10% X7R"
"X13","0395311002","TopLayer","MSTBV2","69.266","24.359","180","Conn - 5.08mm Pitch Fixed"
"C27","UWT1V101MCL1GS","TopLayer","CAP-ELEC-063063077","79.019","25.451","90","CAP ALUM 100UF 35V 20% SMD"
"C103","UWT1V101MCL1GS","TopLayer","CAP-ELEC-063063077","64.008","15.545","90","CAP ALUM 100UF 35V 20% SMD"
"C28","100nF","TopLayer","C0603","22.657","20.625","90","CAP CER 0603 100nF 50V 10% X7R"
"C29","22nF","TopLayer","C0402","22.365","18.745","360","CAP CER 0402 22nF ±10% 50V X7R"
"C51","100nF","TopLayer","C0402","22.428","17.116","270","CAP CER 0402 100nF 16V 10% X7R"
"C53","100nF","TopLayer","C0402","14.427","13.669","90","CAP CER 0402 100nF 16V 10% X7R"
"C54","100nF","TopLayer","C0402","20.494","20.244","180","CAP CER 0402 100nF 16V 10% X7R"
"C61","1uF","TopLayer","C0402","22.424","15.494","180","CAP CER 0402 1uF 6.3V 10% X5R"
"C65","1nF","TopLayer","C0603","31.928","7.671","360","CAP CER 0603  1nF 50v 10% X7R"
"C66","1nF","TopLayer","C0603","26.518","7.772","180","CAP CER 0603  1nF 50v 10% X7R"
"C71","100nF","TopLayer","C0603","18.771","23.419","270","CAP CER 0603 100nF 50V 10% X7R"
"C106","1nF","TopLayer","C0603","22.200","7.747","360","CAP CER 0603  1nF 50v 10% X7R"
"C107","1nF","TopLayer","C0603","13.614","11.608","180","CAP CER 0603  1nF 50v 10% X7R"
"C108","100nF","TopLayer","C0603","17.704","8.128","360","CAP CER 0603 100nF 50V 10% X7R"
"C109","UWT1V101MCL1GS","TopLayer","CAP-ELEC-063063077","23.393","26.213","180","CAP ALUM 100UF 35V 20% SMD"
"C110","100nF","TopLayer","C0603","21.514","11.354","180","CAP CER 0603 100nF 50V 10% X7R"
"C111","100nF","TopLayer","C0603","20.396","21.438","180","CAP CER 0603 100nF 50V 10% X7R"
"R4","10R","TopLayer","R0402","23.901","15.089","90","RES SMD 10 OHM 1% 1/16W 0402"
"R7","0.1r","TopLayer","R1206","17.043","23.063","90","RES 1206 0.1r 0.5w 1%"
"R22","0.1r","TopLayer","R1206","16.256","9.931","180","RES 1206 0.1r 0.5w 1%"
"D17","PMEG3010AESB","TopLayer","SOD993-DFN3127P600-8N","5.436","21.184","360","30 V, 1 A low VF MEGA Schottky barrier rectifier"
"D18","PMEG3010AESB","TopLayer","SOD993-DFN3127P600-8N","6.985","21.184","180","30 V, 1 A low VF MEGA Schottky barrier rectifier"
"D19","PMEG3010AESB","TopLayer","SOD993-DFN3127P600-8N","7.239","12.395","180","30 V, 1 A low VF MEGA Schottky barrier rectifier"
"D20","PMEG3010AESB","TopLayer","SOD993-DFN3127P600-8N","5.690","12.395","360","30 V, 1 A low VF MEGA Schottky barrier rectifier"
"D21","PMEG3010AESB","TopLayer","SOD993-DFN3127P600-8N","18.466","20.117","180","30 V, 1 A low VF MEGA Schottky barrier rectifier"
"D22","PMEG3010AESB","TopLayer","SOD993-DFN3127P600-8N","16.942","20.117","360","30 V, 1 A low VF MEGA Schottky barrier rectifier"
"D23","PMEG3010AESB","TopLayer","SOD993-DFN3127P600-8N","18.542","11.481","180","30 V, 1 A low VF MEGA Schottky barrier rectifier"
"D24","PMEG3010AESB","TopLayer","SOD993-DFN3127P600-8N","16.993","11.481","360","30 V, 1 A low VF MEGA Schottky barrier rectifier"
"C5","UWT1V101MCL1GS","TopLayer","CAP-ELEC-063063077","35.627","25.527","180","CAP ALUM 100UF 35V 20% SMD"
"C23","100nF","TopLayer","C0603","34.011","11.379","180","CAP CER 0603 100nF 50V 10% X7R"
"C32","100nF","TopLayer","C0603","31.801","21.438","180","CAP CER 0603 100nF 50V 10% X7R"
"C33","100nF","TopLayer","C0603","34.747","19.990","360","CAP CER 0603 100nF 50V 10% X7R"
"C34","22nF","TopLayer","C0402","33.837","18.771","360","CAP CER 0402 22nF ±10% 50V X7R"
"C50","100nF","TopLayer","C0402","33.858","17.116","270","CAP CER 0402 100nF 16V 10% X7R"
"C55","100nF","TopLayer","C0402","31.924","20.244","180","CAP CER 0402 100nF 16V 10% X7R"
"C64","100nF","TopLayer","C0402","25.883","13.948","90","CAP CER 0402 100nF 16V 10% X7R"
"C72","1uF","TopLayer","C0402","34.159","15.494","180","CAP CER 0402 1uF 6.3V 10% X5R"
"C75","1nF","TopLayer","C0603","44.704","15.037","360","CAP CER 0603  1nF 50v 10% X7R"
"C112","1nF","TopLayer","C0603","40.640","14.986","180","CAP CER 0603  1nF 50v 10% X7R"
"C113","100nF","TopLayer","C0603","28.296","21.615","180","CAP CER 0603 100nF 50V 10% X7R"
"C114","1nF","TopLayer","C0603","32.969","9.703","360","CAP CER 0603  1nF 50v 10% X7R"
"C115","1nF","TopLayer","C0603","25.070","11.557","180","CAP CER 0603  1nF 50v 10% X7R"
"C116","100nF","TopLayer","C0603","30.023","9.550","90","CAP CER 0603 100nF 50V 10% X7R"
"D25","PMEG3010AESB","TopLayer","SOD993-DFN3127P600-8N","28.372","20.117","360","30 V, 1 A low VF MEGA Schottky barrier rectifier"
"D26","PMEG3010AESB","TopLayer","SOD993-DFN3127P600-8N","29.896","20.117","180","30 V, 1 A low VF MEGA Schottky barrier rectifier"
"D27","PMEG3010AESB","TopLayer","SOD993-DFN3127P600-8N","30.023","11.455","180","30 V, 1 A low VF MEGA Schottky barrier rectifier"
"D28","PMEG3010AESB","TopLayer","SOD993-DFN3127P600-8N","28.473","11.455","360","30 V, 1 A low VF MEGA Schottky barrier rectifier"
"R8","10R","TopLayer","R0402","35.077","17.121","90","RES SMD 10 OHM 1% 1/16W 0402"
"R10","0.1r","TopLayer","R1206","29.490","23.317","360","RES 1206 0.1r 0.5w 1%"
"R25","0.1r","TopLayer","R1206","26.924","9.830","180","RES 1206 0.1r 0.5w 1%"
"C18","UWT1V101MCL1GS","TopLayer","CAP-ELEC-063063077","65.507","6.096","90","CAP ALUM 100UF 35V 20% SMD"
"C31","100nF","TopLayer","C0603","58.395","11.201","180","CAP CER 0603 100nF 50V 10% X7R"
"C36","100nF","TopLayer","C0603","56.261","21.412","180","CAP CER 0603 100nF 50V 10% X7R"
"C37","100nF","TopLayer","C0603","58.522","20.726","90","CAP CER 0603 100nF 50V 10% X7R"
"C38","22nF","TopLayer","C0402","58.348","18.771","360","CAP CER 0402 22nF ±10% 50V X7R"
"C39","100nF","TopLayer","C0402","58.369","17.116","270","CAP CER 0402 100nF 16V 10% X7R"
"C41","100nF","TopLayer","C0402","50.368","13.898","90","CAP CER 0402 100nF 16V 10% X7R"
"C73","100nF","TopLayer","C0402","56.384","20.218","180","CAP CER 0402 100nF 16V 10% X7R"
"C76","1uF","TopLayer","C0402","58.442","15.392","180","CAP CER 0402 1uF 6.3V 10% X5R"
"C78","1nF","TopLayer","C0603","58.369","7.874","360","CAP CER 0603  1nF 50v 10% X7R"
"C80","1nF","TopLayer","C0603","55.423","7.874","360","CAP CER 0603  1nF 50v 10% X7R"
"C82","100nF","TopLayer","C0603","54.737","23.444","270","CAP CER 0603 100nF 50V 10% X7R"
"C117","1nF","TopLayer","C0603","52.807","7.798","360","CAP CER 0603  1nF 50v 10% X7R"
"C118","1nF","TopLayer","C0603","49.936","7.798","360","CAP CER 0603  1nF 50v 10% X7R"
"C119","100nF","TopLayer","C0603","55.245","9.652","180","CAP CER 0603 100nF 50V 10% X7R"
"D29","PMEG3010AESB","TopLayer","SOD993-DFN3127P600-8N","54.356","20.091","180","30 V, 1 A low VF MEGA Schottky barrier rectifier"
"D30","PMEG3010AESB","TopLayer","SOD993-DFN3127P600-8N","52.857","20.091","360","30 V, 1 A low VF MEGA Schottky barrier rectifier"
"D31","PMEG3010AESB","TopLayer","SOD993-DFN3127P600-8N","54.534","11.430","180","30 V, 1 A low VF MEGA Schottky barrier rectifier"
"D32","PMEG3010AESB","TopLayer","SOD993-DFN3127P600-8N","52.908","11.430","360","30 V, 1 A low VF MEGA Schottky barrier rectifier"
"R14","10R","TopLayer","R0402","59.588","17.121","90","RES SMD 10 OHM 1% 1/16W 0402"
"R15","0.1r","TopLayer","R1206","53.035","23.063","90","RES 1206 0.1r 0.5w 1%"
"R26","0.1r","TopLayer","R1206","51.435","9.855","180","RES 1206 0.1r 0.5w 1%"
"P1","Header 5X2 IDC","TopLayer","HDR2X5_IDC","50.546","66.294","360","Header, 5-Pin, Dual row"
"P2","Header 5X2 IDC","TopLayer","HDR2X5_IDC","50.546","56.769","360","Header, 5-Pin, Dual row"
"RV3","VRS0402SR55R101N","TopLayer","C0402","16.234","55.931","360","Multi-Layer Varistor"
"RV4","VRS0402SR55R101N","TopLayer","C0402","12.272","55.575","360","Multi-Layer Varistor"
"RV5","VRS0402SR55R101N","TopLayer","C0402","20.197","56.312","360","Multi-Layer Varistor"
"RV6","VRS0402SR55R101N","TopLayer","C0402","14.253","55.575","360","Multi-Layer Varistor"
"RV7","VRS0402SR55R101N","TopLayer","C0402","24.144","56.312","180","Multi-Layer Varistor"
"RV8","VRS0402SR55R101N","TopLayer","C0402","36.046","56.261","360","Multi-Layer Varistor"
"RV9","VRS0402SR55R101N","TopLayer","C0402","39.776","51.406","90","Multi-Layer Varistor"
"RV10","VRS0402SR55R101N","TopLayer","C0402","38.811","49.559","90","Multi-Layer Varistor"
"RV11","VRS0402SR55R101N","TopLayer","C0402","38.002","56.261","360","Multi-Layer Varistor"
"RV12","VRS0402SR55R101N","TopLayer","C0402","39.802","55.698","270","Multi-Layer Varistor"
"RV13","VRS0402SR55R101N","TopLayer","C0402","36.551","53.412","270","Multi-Layer Varistor"
"RV14","VRS0402SR55R101N","TopLayer","C0402","34.058","56.286","180","Multi-Layer Varistor"
"RV15","VRS0402SR55R101N","TopLayer","C0402","30.103","56.261","360","Multi-Layer Varistor"
"RV16","VRS0402SR55R101N","TopLayer","C0402","32.076","56.286","180","Multi-Layer Varistor"
"RV17","VRS0402SR55R101N","TopLayer","C0402","28.114","56.286","180","Multi-Layer Varistor"
"RV18","VRS0402SR55R101N","TopLayer","C0402","37.037","51.892","360","Multi-Layer Varistor"
"RV19","VRS0402SR55R101N","TopLayer","C0402","57.230","51.613","360","Multi-Layer Varistor"
"RV20","VRS0402SR55R101N","TopLayer","C0402","48.108","49.272","270","Multi-Layer Varistor"
"RV21","VRS0402SR55R101N","TopLayer","C0402","46.660","49.272","270","Multi-Layer Varistor"
"RV22","VRS0402SR55R101N","TopLayer","C0402","45.187","49.247","270","Multi-Layer Varistor"
"RV23","VRS0402SR55R101N","TopLayer","C0402","26.133","56.312","180","Multi-Layer Varistor"
"RV24","VRS0402SR55R101N","TopLayer","C0402","28.274","44.221","360","Multi-Layer Varistor"
"RV25","VRS0402SR55R101N","TopLayer","C0402","38.503","29.566","360","Multi-Layer Varistor"
"RN4","1K","TopLayer","CAY16","25.314","52.177","0","RES ARRAY 4 RES 1K 1206 62.5mW 5%"
"R19","22r","TopLayer","R0402","28.119","55.220","360","RES 0402 22r 62.5mW 1%"
"R20","22r","TopLayer","R0402","36.576","50.395","90","RES 0402 22r 62.5mW 1%"
"R27","22r","TopLayer","R0402","36.044","55.220","360","RES 0402 22r 62.5mW 1%"
"R28","1.8K","TopLayer","R0402","71.579","35.382","360","RES SMD 1.8K OHM 1% 1/16W 0402"
"R29","1.8K","TopLayer","R0402","68.325","50.190","360","RES SMD 1.8K OHM 1% 1/16W 0402"
"R30","1K","TopLayer","R0402","71.576","34.341","180","RES SMD 1K OHM 1% 1/16W 0402"
"C42","100nF","TopLayer","C0402","74.113","33.198","180","CAP CER 0402 100nF 16V 10% X7R"
"C43","100nF","TopLayer","C0402","68.330","53.238","360","CAP CER 0402 100nF 16V 10% X7R"
"R38","2k37","TopLayer","R0402","54.331","36.400","90","RES SMD 2.37K OHM 1% 1/16W 0402"
"R39","2k37","TopLayer","R0402","52.907","39.472","180","RES SMD 2.37K OHM 1% 1/16W 0402"
"R41","2k37","TopLayer","R0402","54.408","31.394","360","RES SMD 2.37K OHM 1% 1/16W 0402"
"R44","1K","TopLayer","R0402","74.116","32.106","180","RES SMD 1K OHM 1% 1/16W 0402"
"R45","1K","TopLayer","R0402","68.327","52.222","360","RES SMD 1K OHM 1% 1/16W 0402"
"D12","BAT54","TopLayer","SOD523_IPC","55.042","39.141","360","Diode Schottky 30V 100mA Surface Mount SOD-523"
"FB3","120R","TopLayer","FB0603","52.146","46.279","180","FERRITE BEAD 120 OHM 0603 1LN"
"FB4","120R","TopLayer","FB0603","51.689","30.658","270","FERRITE BEAD 120 OHM 0603 1LN"
"R51","10K","TopLayer","R0402","68.555","55.526","90","RES SMD 10K OHM 1% 1/16W 0402"
"R61","10K","TopLayer","R0402","68.504","65.025","90","RES SMD 10K OHM 1% 1/16W 0402"
