Comment,Description,Designator,Footprint,LibRef,Quantity
"1nF","CAP CER 0603  1nF 50v 10% X7R","C64","C0603","C0603C102K5RACTU","1"
"1nF","CAP CER 0603  1nF 50v 10% X7R","C65","C0603","C0603C102K5RACTU","1"
"1nF","CAP CER 0603  1nF 50v 10% X7R","C66","C0603","C0603C102K5RACTU","1"
"100nF","CAP CER 0402 100nF 16V 10% X7R","C67","C0402","GRM155R71C104KA88D","1"
"100nF","CAP CER 0402 100nF 16V 10% X7R","C68","C0402","GRM155R71C104KA88D","1"
"100nF","CAP CER 0402 100nF 16V 10% X7R","C69","C0402","GRM155R71C104KA88D","1"
"100nF","CAP CER 0402 100nF 16V 10% X7R","C70","C0402","GRM155R71C104KA88D","1"
"100nF","CAP CER 0603 100nF 50V 10% X7R","C71","C0603","C0603C104K5RACTU","1"
"100nF","CAP CER 0603 100nF 50V 10% X7R","C72","C0603","C0603C104K5RACTU","1"
"100nF","CAP CER 0603 100nF 50V 10% X7R","C73","C0603","C0603C104K5RACTU","1"
"100nF","CAP CER 0603 100nF 50V 10% X7R","C74","C0603","C0603C104K5RACTU","1"
"1nF","CAP CER 0603  1nF 50v 10% X7R","C75","C0603","C0603C102K5RACTU","1"
"1nF","CAP CER 0603  1nF 50v 10% X7R","C76","C0603","C0603C102K5RACTU","1"
"1nF","CAP CER 0603  1nF 50v 10% X7R","C77","C0603","C0603C102K5RACTU","1"
"1nF","CAP CER 0603  1nF 50v 10% X7R","C78","C0603","C0603C102K5RACTU","1"
"1nF","CAP CER 0603  1nF 50v 10% X7R","C79","C0603","C0603C102K5RACTU","1"
"1nF","CAP CER 0603  1nF 50v 10% X7R","C80","C0603","C0603C102K5RACTU","1"
"1nF","CAP CER 0603  1nF 50v 10% X7R","C81","C0603","C0603C102K5RACTU","1"
"1nF","CAP CER 0603  1nF 50v 10% X7R","C82","C0603","C0603C102K5RACTU","1"
"1nF","CAP CER 0603  1nF 50v 10% X7R","C83","C0603","C0603C102K5RACTU","1"
"NP","CAP CER 0603 100nF 50V 10% X7R","C84","C0603","C0603C104K5RACTU","1"
"NP","CAP CER 0603 100nF 50V 10% X7R","C85","C0603","C0603C104K5RACTU","1"
"NP","CAP CER 0603 100nF 50V 10% X7R","C86","C0603","C0603C104K5RACTU","1"
"NP","CAP CER 0603 100nF 50V 10% X7R","C87","C0603","C0603C104K5RACTU","1"
"NP","CAP CER 0603 100nF 50V 10% X7R","C88","C0603","C0603C104K5RACTU","1"
"NP","CAP CER 0603 100nF 50V 10% X7R","C89","C0603","C0603C104K5RACTU","1"
"1N4148WT","DIODE SOD523","D1","SOD523","1N4148WT","1"
"SMAJ30A","DIODE TVS 30V SMA","D2","SMA-SM","SMAJ30A","1"
"1N4148WT","DIODE SOD523","D3","SOD523","1N4148WT","1"
"1N4148WT","DIODE SOD523","D4","SOD523","1N4148WT","1"
"1N4148WT","DIODE SOD523","D5","SOD523","1N4148WT","1"
"SK310A-TP","DIODE Schottky 3A SMA","D6","SMA-SM","SK310A","1"
"S3A-13-F","DIODE DO-214AB","D7","DO-214AB","S3A-13-F","1"
"SMAJ30A","DIODE TVS 30V SMA","D8","SMA-SM","SMAJ30A","1"
"SK310A-TP","DIODE Schottky 3A SMA","D9","SMA-SM","SK310A","1"
"SK310A-TP","DIODE Schottky 3A SMA","D10","SMA-SM","SK310A","1"
"1N4148WT","DIODE SOD523","D11","SOD523","1N4148WT","1"
"SZMM3Z4V7T1G","Z-Diode","D12","SOD323-R","ZENER-DIODE","1"
"1N4148WT","DIODE SOD523","D13","SOD523","1N4148WT","1"
"1N4148WT","DIODE SOD523","D14","SOD523","1N4148WT","1"
"1N4148WT","DIODE SOD523","D15","SOD523","1N4148WT","1"
"RSB39VTE-17","DIODE TVS","D16","SOD323-R","RSB39VTE-17","1"
"3557-2","FUSE PTH ATO","F1","3557","3557-2","1"
"3557-2","FUSE PTH ATO","F2","3557","3557-2","1"
"3557-2","FUSE PTH ATO","F3","3557","3557-2","1"
"BLM41PG600SN1L","FERRITE BEAD 1806 60ohm","FB1","L1806","BLM41PG600SN1L","1"
"BLM41PG600SN1L","FERRITE BEAD 1806 60ohm","FB2","L1806","BLM41PG600SN1L","1"
"FIDUCIAL","Fiducial","FID1","FIDUCIAL-1X2","FIDUCIAL","1"
"FIDUCIAL","Fiducial","FID2","FIDUCIAL-1X2","FIDUCIAL","1"
"FIDUCIAL","Fiducial","FID3","FIDUCIAL-1X2","FIDUCIAL","1"
"XAL5050-153MED","IND 15uH 3.9A 20%","L1","XAL50xx-153","XAL5050-153MED","1"
"CBC2012T100M","IND 0805 10uH 240mA 20%","L2","C0805","CBC2012T100M","1"
"5988140107F","LED 0805 Yellow","LED1","LED2012120","5988140107F","1"
"5988110107F","LED 0805 Red","LED2","LED2012120","5988110107F","1"
"5988110107F","LED 0805 Red","LED3","LED2012120","5988110107F","1"
"5988140107F","LED 0805 Yellow","LED4","LED2012120","5988140107F","1"
"5988110107F","LED 0805 Red","LED6","LED2012120","5988110107F","1"
"5988170107F","LED 0805 Green","LED7","LED2012120","5988170107F","1"
"5988110107F","LED 0805 Red","LED8","LED2012120","5988110107F","1"
"5988140107F","LED 0805 Yellow","LED10","LED2012120","5988140107F","1"
"Header 5X2","Header, 5-Pin, Dual row","P1","HDR2X5","Header 5X2","1"
"Header 5X2","Header, 5-Pin, Dual row","P2","HDR2X5","Header 5X2","1"
"5x2 IDCw","","P3","2x5 IDCw","5X2 IDCw","1"
"PSMN7R0-60YS,115","Mosfet N-channel 60V 356A 117W 9.3mOhms","Q1","SOT669","PSMN7R0-60YS,115","1"
"PSMN7R0-60YS,115","Mosfet N-channel 60V 356A 117W 9.3mOhms","Q5","SOT669","PSMN7R0-60YS,115","1"
"NCV8402AD","","Q8","NCV8402AD-SOIC8","NCV8402AD","1"
"22r","RES 0402 22r 62.5mW 1%","R1","R0402","RC0402FR-0722RL","1"
"22r","RES 0402 22r 62.5mW 1%","R2","R0402","RC0402FR-0722RL","1"
"200K","RES 0402 22r 63mW 1%","R3","R0402","CRCW0402200KFKED","1"
"0.1r","RES 1206 0.1r 0.5w 1%","R4","R1206","CRM1206-FX-R100ELF","1"
"4.7K","RES 0603 4.7K 100mW 1%","R5","R0603","ERJ3EKF4701V","1"
"4.7K","RES 0603 4.7K 100mW 1%","R6","R0603","ERJ3EKF4701V","1"
"0.1r","RES 1206 0.1r 0.5w 1%","R7","R1206","CRM1206-FX-R100ELF","1"
"0.1r","RES 1206 0.1r 0.5w 1%","R8","R1206","CRM1206-FX-R100ELF","1"
"10r","RES 0603 10r 100mW 1%","R9","R0603","CRCW060310R0FKEA","1"
"0.1r","RES 1206 0.1r 0.5w 1%","R10","R1206","CRM1206-FX-R100ELF","1"
"10K","RES 0603 10K 100mW 1%","R11","R0603","ERJ-3EKF1002V","1"
"0.6r","RES 0.06 OHM 1W 1% 2512 SMD","R13","2512R-0.55","RL2512FK-070R06L","1"
"0.1r","RES 1206 0.1r 0.5w 1%","R14","R1206","CRM1206-FX-R100ELF","1"
"0.1r","RES 1206 0.1r 0.5w 1%","R15","R1206","CRM1206-FX-R100ELF","1"
"100K","RES 100K OHM 1/10W 1% 0603 SMD","R16","R0603","RC0603FR-07100KL","1"
"0.1r","RES 1206 0.1r 0.5w 1%","R19","R1206","CRM1206-FX-R100ELF","1"
"0.1r","RES 1206 0.1r 0.5w 1%","R20","R1206","CRM1206-FX-R100ELF","1"
"100K","RES 100K OHM 1/10W 1% 0603 SMD","R21","R0603","RC0603FR-07100KL","1"
"10K","RES 0603 10K 100mW 1%","R23","R0603","ERJ-3EKF1002V","1"
"10K","RES 0603 10K 100mW 1%","R24","R0603","ERJ-3EKF1002V","1"
"4.7K","RES 0603 4.7K 100mW 1%","R31","R0603","ERJ3EKF4701V","1"
"4.7K","RES 0603 4.7K 100mW 1%","R32","R0603","ERJ3EKF4701V","1"
"1K","RES 0603 1K 100mW 1%","R33","R0603","ERJ-3EKF1001V","1"
"1K","RES 0603 1K 100mW 1%","R34","R0603","ERJ-3EKF1001V","1"
"1K","RES 0603 1K 100mW 1%","R35","R0603","ERJ-3EKF1001V","1"
"4.7K","RES 0603 4.7K 100mW 1%","R36","R0603","ERJ3EKF4701V","1"
"4.7K","RES 0603 4.7K 100mW 1%","R37","R0603","ERJ3EKF4701V","1"
"1.8K","RES 0603 1.8K 100mW 5%","R40","R0603","RC0603JR-071K8L","1"
"10r","RES 0603 10r 100mW 1%","R42","R0603","CRCW060310R0FKEA","1"
"100K","RES 100K OHM 1/10W 1% 0603 SMD","R43","R0603","RC0603FR-07100KL","1"
"10K","RES 0603 10K 100mW 1%","R46","R0603","ERJ-3EKF1002V","1"
"10K","RES 0603 10K 100mW 1%","R47","R0603","ERJ-3EKF1002V","1"
"10r","RES 0603 10r 100mW 1%","R56","R0603","CRCW060310R0FKEA","1"
"100K","RES 100K OHM 1/10W 1% 0603 SMD","R57","R0603","RC0603FR-07100KL","1"
"1.8K","RES 0603 1.8K 100mW 5%","R58","R0603","RC0603JR-071K8L","1"
"100K","RES 100K OHM 1/10W 1% 0603 SMD","R59","R0603","RC0603FR-07100KL","1"
"100K","RES 100K OHM 1/10W 1% 0603 SMD","R60","R0603","RC0603FR-07100KL","1"
"100K","RES 100K OHM 1/10W 1% 0603 SMD","R61","R0603","RC0603FR-07100KL","1"
"100K","RES 100K OHM 1/10W 1% 0603 SMD","R62","R0603","RC0603FR-07100KL","1"
"1.8K","RES 0603 1.8K 100mW 5%","R69","R0603","RC0603JR-071K8L","1"
"1.8K","RES 0603 1.8K 100mW 5%","R70","R0603","RC0603JR-071K8L","1"
"10r","RES 0603 10r 100mW 1%","R71","R0603","CRCW060310R0FKEA","1"
"1M","RES 0402 1M 100mW 5%","R72","R0402","ERJ2GEJ105X","1"
"10K","RES 0603 10K 100mW 1%","R73","R0603","ERJ-3EKF1002V","1"
"10K","RES ARRAY 4 RES 10K 1206 62.5mW 5%","RN1","CAY16","CAY16-103J4LF","1"
"10K","RES ARRAY 4 RES 10K 1206 62.5mW 5%","RN2","CAY16","CAY16-103J4LF","1"
"10K","RES ARRAY 4 RES 10K 1206 62.5mW 5%","RN3","CAY16","CAY16-103J4LF","1"
"1K","RES ARRAY 4 RES 1K 1206 62.5mW 5%","RN5","CAY16","CAY16-102J4LF","1"
"CG0603MLC-05E","VAR 0603 5V","RV1","R0603","CG0603MLC-05E","1"
"CG0603MLC-05E","VAR 0603 5V","RV2","R0603","CG0603MLC-05E","1"
"1571610-2","SWTCH Momentary Washable","S1","B3F-31XX","1571610-2","1"
"Atmega32u2","Atmega32u2","U1","QFN32_050050","ATMEGA32U2-MU2","1"
"Atmega2560","Atmega2560","U2","TQFP100_140140_012","ATMEGA2560AU","1"
"LM25011MY/NOPB","REG BUCK","U3","VSSOP10","LM25011","1"
"A4982","Stepper Driver - Fully Integrated, Control and Power Stage","U5","QFN32_050050","A4982QFN32","1"
"A4982","Stepper Driver - Fully Integrated, Control and Power Stage","U6","QFN32_050050","A4982QFN32","1"
"A4982","Stepper Driver - Fully Integrated, Control and Power Stage","U7","QFN32_050050","A4982QFN32","1"
"A4982","Stepper Driver - Fully Integrated, Control and Power Stage","U8","QFN32_050050","A4982QFN32","1"
"ADUM7441","4ch iCoupler","U10","QSOP16","ADUM7441","1"
"C-GRID-02-70543","Connector 2pos 2.54mm locking","X1","70543-02","C-GRID-02-70543","1"
"USB-B","USB connector B PTH","X2","PN61729","USB-B","1"
"0395311004","PHOENIX","X3","MSTBV4","MSTBV4","1"
"MPT4","PHOENIX CONNECTOR","X4","4POL254","MPT4","1"
"C-GRID-03-70543","Connector 2pos 2.54mm locking","X5","70543-03","C-GRID-03-70543","1"
"MPT4","PHOENIX CONNECTOR","X6","4POL254","MPT4","1"
"C-GRID-03-70543","Connector 2pos 2.54mm locking","X7","70543-03","C-GRID-03-70543","1"
"MPT4","PHOENIX CONNECTOR","X8","4POL254","MPT4","1"
"C-GRID-02-70543","Connector 2pos 2.54mm locking","X9","70543-02","C-GRID-02-70543","1"
"0395311004","PHOENIX","X10","MSTBV4-ThinSilk","MSTBV4","1"
"C-GRID-03-70543","Connector 2pos 2.54mm locking","X11","70543-03","C-GRID-03-70543","1"
"C-GRID-02-70543","Connector 2pos 2.54mm locking","X12","70543-02","C-GRID-02-70543","1"
"MPT4","PHOENIX CONNECTOR","X14","4POL254 noPol","MPT4","1"
"MPT4","PHOENIX CONNECTOR","X15","4POL254 noPol","MPT4","1"
"PINHD-2X3","PIN HEADER","X17","2X03","PINHD-2X3","1"
"PINHD-2X3","PIN HEADER","X18","2X03","PINHD-2X3","1"
"C-GRID-03-70543","Connector 2pos 2.54mm locking","X21","70543-03","C-GRID-03-70543","1"
"C-GRID-03-70543","Connector 2pos 2.54mm locking","X22","70543-03","C-GRID-03-70543","1"
"C-GRID-03-70543","Connector 2pos 2.54mm locking","X23","70543-03","C-GRID-03-70543","1"
"C-GRID-02-70543","Connector 2pos 2.54mm locking","X27","70543-02","C-GRID-02-70543","1"
"C-GRID-02-70543","Connector 2pos 2.54mm locking","X28","70543-02","C-GRID-02-70543","1"
"M02PTH","Connector 2x1 2.54mm PTH","X35","1X02","M02PTH","1"
"7M-16.000MEEQ-T","Crystal 16mHz 10ppm 10pF","Y1","CRYS320250","7M-16.000MEEQ-T","1"
"7M-16.000MEEQ-T","Crystal 16mHz 10ppm 10pF","Y2","CRYS320250","7M-16.000MEEQ-T","1"
"ATO Fuses","Description","_1","","Fuses","1"
"ATO Fuses","Description","_2","","Fuses","1"
"ATO Fuses","Description","_3","","Fuses","1"
"","Description","_A","","PCB assembly","1"
"","Description","_AH","","Harness assembly","1"
"","Description","_WK","","Wire Kit","1"
