Comment	Description	Designator	Footprint	LibRef		
1N4148WT	DIODE SOD523	D1	SOD523	1N4148WT	SOD523	D0802
SK310A-TP	DIODE TVS 30V SMA	D2	SMA-SM	SMAJ30A	D0-214AC	E1204
1N4148WT	DIODE SOD523	D3	SOD523	1N4148WT	SOD523	D0802
1N4148WT	DIODE SOD523	D4	SOD523	1N4148WT	SOD523	D0802
1N4148WT	DIODE SOD523	D5	SOD523	1N4148WT	SOD523	D0802
SK310A-TP	DIODE Schottky 3A SMA	D6	SMA-SM	SK310A-TP	D0-214AC	E1208
S3A-13-F	DIODE DO-214AB	D7	DO-214AB	S3A-13-F	S3A-070060-2.3	E1608
SK310A-TP	DIODE TVS 30V SMA	D8	SMA-SM	SMAJ30A	D0-214AC	E1204
SK310A-TP	DIODE Schottky 3A SMA	D10	SMA-SM	SK310A	D0-214AC	E1208
1N4148WT	DIODE SOD523	D11	SOD523	1N4148WT	SOD523	D0802
SZMM3Z4V7T1G	Z-Diode	D12	SOD323-R	SZMM3Z4V7T1G	SOD323	E0804
1N4148WT	DIODE SOD523	D13	SOD523	1N4148WT	SOD523	D0802
1N4148WT	DIODE SOD523	D14	SOD523	1N4148WT	SOD523	D0802
1N4148WT	DIODE SOD523	D15	SOD523	1N4148WT	SOD523	D0802
RSB39VTE-17	DIODE TVS	D16	SOD323-R	RSB39VTE-17	SOD323	E0804
PTS181233V075	FUSE 1812 PTC 750mA 6V	F5	PTS1812 Fuse	PTS181233V075	1812F	E1208
BLM41PG600SN1L	FERRITE BEAD 1806 60ohm	FB1	L1806	BLM41PG600SN1L	1806C	E1204
BLM41PG600SN1L	FERRITE BEAD 1806 60ohm	FB2	L1806	BLM41PG600SN1L	1806C	E1204
CBC2012T100M	IND 0805 10uH 240mA 20%	L2	C0805	CBC2012T100M	0805C-1.25	E0804
5988140107F	LED 0805 Yellow	LED1	LED2012120	5988140107F	LED2012120	E0804
5988110107F	LED 0805 Red	LED2	LED2012120	5988110107F	LED2012120	E0804
5988110107F	LED 0805 Red	LED3	LED2012120	5988110107F	LED2012120	E0804
5988140107F	LED 0805 Yellow	LED4	LED2012120	5988140107F	LED2012120	E0804
5988110107F	LED 0805 Red	LED6	LED2012120	5988110107F	LED2012120	E0804
5988170107F	LED 0805 Green	LED7	LED2012120	5988170107F	LED2012120	E0804
5988110107F	LED 0805 Red	LED8	LED2012120	5988110107F	LED2012120	E0804
5988140107F	LED 0805 Yellow	LED10	LED2012120	5988140107F	LED2012120	E0804
PSMN7R0-60YS,115	Mosfet N-channel 60V 356A 117W 9.3mOhms	Q1	SOT669	PSMN7R0-60YS,115	SOT669b	E1208
PSMN7R0-60YS,115	Mosfet N-channel 60V 356A 117W 9.3mOhms	Q5	SOT669	PSMN7R0-60YS,115	SOT669b	E1208
IRLML6346TRPBF	Mosfet N-Channel 30V 3.4A 63mOhm	Q8	SOT23-3	IRLML6346TRPBF	SOT23	E0804
IRLML6346TRPBF	Mosfet N-Channel 30V 3.4A 63mOhm	Q9	SOT23-3	IRLML6346TRPBF	SOT23	E0804
22r	RES 0402 22r 62.5mW 1%	R1	R0402	RC0402FR-0722RL	0402R	D0802
22r	RES 0402 22r 62.5mW 1%	R2	R0402	RC0402FR-0722RL	0402R	D0802
0.1r	RES 1206 0.1r 0.5w 1%	R4	R1206	CRM1206-FX-R100ELF	1206R	E0804
4.7K	RES 0603 4.7K 100mW 1%	R5	R0603	ERJ3EKF4701V	0603R	E0804
4.7K	RES 0603 4.7K 100mW 1%	R6	R0603	ERJ3EKF4701V	0603R	E0804
0.1r	RES 1206 0.1r 0.5w 1%	R7	R1206	CRM1206-FX-R100ELF	1206R	E0804
0.1r	RES 1206 0.1r 0.5w 1%	R8	R1206	CRM1206-FX-R100ELF	1206R	E0804
10r	RES 0603 10r 100mW 1%	R9	R0603	CRCW060310R0FKEA	0603R	E0804
0.1r	RES 1206 0.1r 0.5w 1%	R10	R1206	CRM1206-FX-R100ELF	1206R	E0804
0.1r	RES 1206 0.1r 0.5w 1%	R14	R1206	CRM1206-FX-R100ELF	1206R	E0804
0.1r	RES 1206 0.1r 0.5w 1%	R15	R1206	CRM1206-FX-R100ELF	1206R	E0804
100K	RES 100K OHM 1/10W 1% 0603 SMD	R16	R0603	RC0603FR-07100KL	0603R	E0804
0.1r	RES 1206 0.1r 0.5w 1%	R19	R1206	CRM1206-FX-R100ELF	1206R	E0804
0.1r	RES 1206 0.1r 0.5w 1%	R20	R1206	CRM1206-FX-R100ELF	1206R	E0804
100K	RES 100K OHM 1/10W 1% 0603 SMD	R21	R0603	RC0603FR-07100KL	0603R	E0804
4.7K	RES 0603 4.7K 100mW 1%	R31	R0603	ERJ3EKF4701V	0603R	E0804
4.7K	RES 0603 4.7K 100mW 1%	R32	R0603	ERJ3EKF4701V	0603R	E0804
1K	RES 0603 1K 100mW 1%	R33	R0603	ERJ-3EKF1001V	0603R	E0804
1K	RES 0603 1K 100mW 1%	R34	R0603	ERJ-3EKF1001V	0603R	E0804
1K	RES 0603 1K 100mW 1%	R35	R0603	ERJ-3EKF1001V	0603R	E0804
4.7K	RES 0603 4.7K 100mW 1%	R36	R0603	ERJ3EKF4701V	0603R	E0804
4.7K	RES 0603 4.7K 100mW 1%	R37	R0603	ERJ3EKF4701V	0603R	E0804
1.8K	RES 0603 1.8K 100mW 5%	R40	R0603	RC0603JR-071K8L	0603R	E0804
10r	RES 0603 10r 100mW 1%	R42	R0603	CRCW060310R0FKEA	0603R	E0804
100K	RES 100K OHM 1/10W 1% 0603 SMD	R43	R0603	RC0603FR-07100KL	0603R	E0804
10K	RES 0603 10K 100mW 1%	R46	R0603	ERJ-3EKF1002V	0603R	E0804
10K	RES 0603 10K 100mW 1%	R47	R0603	ERJ-3EKF1002V	0603R	E0804
10r	RES 0603 10r 100mW 1%	R56	R0603	CRCW060310R0FKEA	0603R	E0804
100K	RES 100K OHM 1/10W 1% 0603 SMD	R57	R0603	RC0603FR-07100KL	0603R	E0804
1.8K	RES 0603 1.8K 100mW 5%	R58	R0603	RC0603JR-071K8L	0603R	E0804
100K	RES 100K OHM 1/10W 1% 0603 SMD	R59	R0603	RC0603FR-07100KL	0603R	E0804
100K	RES 100K OHM 1/10W 1% 0603 SMD	R60	R0603	RC0603FR-07100KL	0603R	E0804
100K	RES 100K OHM 1/10W 1% 0603 SMD	R61	R0603	RC0603FR-07100KL	0603R	E0804
100K	RES 100K OHM 1/10W 1% 0603 SMD	R62	R0603	RC0603FR-07100KL	0603R	E0804
1.8K	RES 0603 1.8K 100mW 5%	R69	R0603	RC0603JR-071K8L	0603R	E0804
1.8K	RES 0603 1.8K 100mW 5%	R70	R0603	RC0603JR-071K8L	0603R	E0804
10r	RES 0603 10r 100mW 1%	R71	R0603	CRCW060310R0FKEA	0603R	E0804
1M	RES 0402 1M 100mW 5%	R72	R0402	ERJ2GEJ105X	0402R	D0802
10K	RES 0603 10K 100mW 1%	R73	R0603	ERJ-3EKF1002V	0603R	E0804
0r	RES 0603 0r 100mW 1%	R74	R0603	CR0603J000ELF	0603R	E0804
0r	RES 0603 0r 100mW 1%	R75	R0603	CR0603J000ELF	0603R	E0804
10K	RES ARRAY 4 RES 10K 1206 62.5mW 5%	RN1	CAY16	CAY16-103J4LF	CAY16-2	E0804
10K	RES ARRAY 4 RES 10K 1206 62.5mW 5%	RN2	CAY16	CAY16-103J4LF	CAY16-2	E0804
10K	RES ARRAY 4 RES 10K 1206 62.5mW 5%	RN3	CAY16	CAY16-103J4LF	CAY16-2	E0804
1K	RES ARRAY 4 RES 1K 1206 62.5mW 5%	RN5	CAY16	CAY16-102J4LF	CAY16-2	E0804
CG0603MLC-05E	VAR 0603 5V	RV1	R0603	CG0603MLC-05E	0603R	E0804
CG0603MLC-05E	VAR 0603 5V	RV2	R0603	CG0603MLC-05E	0603R	E0804
Atmega32u2	Atmega32u2	U1	QFN32_050050	ATMEGA32U2-MUR	QFN32_050050	E1208
Atmega2560	Atmega2560	U2	TQFP100_140140_012	ATMEGA2560-16AUR	TQFP100_140140_012	E2420
A4982	Stepper Driver - Fully Integrated, Control and Power Stage	U5	QFN32_050050	A4982SETTR-T	QFN32_050050	E1208
A4982	Stepper Driver - Fully Integrated, Control and Power Stage	U6	QFN32_050050	A4982SETTR-T	QFN32_050050	E1208
A4982	Stepper Driver - Fully Integrated, Control and Power Stage	U7	QFN32_050050	A4982SETTR-T	QFN32_050050	E1208
A4982	Stepper Driver - Fully Integrated, Control and Power Stage	U8	QFN32_050050	A4982SETTR-T	QFN32_050050	E1208
ADUM7441	4ch iCoupler	U10	QSOP16	ADUM7441	QSOP16	E1208
7M-16.000MEEQ-T	Crystal 16mHz 10ppm 10pF	Y1	CRYS320250	7M-16.000MEEQ-T	CRYS320250	E0804
7M-16.000MEEQ-T	Crystal 16mHz 10ppm 10pF	Y2	CRYS320250	7M-16.000MEEQ-T	CRYS320250	E0804
